               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  83,             0.10712,            0.022028,            0.005804,             0.16144,             0.36938,             0.43438,             0.26934,            0.077027,             0.11151,            0.028326,           0.0072402,             0.15865,            0.009868,            0.009868,            0.009868
                  84,             0.10179,            0.022884,           0.0054168,              0.1615,             0.39671,             0.42617,             0.27427,            0.083412,             0.10489,             0.02825,           0.0073909,             0.15807,           0.0098648,           0.0098648,           0.0098648
                  85,             0.10151,            0.023913,           0.0052985,             0.16177,             0.28939,             0.44654,              0.2096,            0.064011,             0.10863,            0.029157,           0.0083821,             0.15911,           0.0098615,           0.0098615,           0.0098615
                  86,             0.10345,            0.023089,           0.0057166,             0.16145,             0.37228,             0.38065,             0.29055,            0.095123,              0.1117,            0.025513,           0.0074565,             0.15764,           0.0098582,           0.0098582,           0.0098582
                  87,             0.10404,            0.021376,           0.0052279,             0.15896,              0.4639,             0.57718,             0.47412,             0.15461,             0.10385,            0.027197,            0.006462,             0.15342,           0.0098549,           0.0098549,           0.0098549
                  88,             0.10291,             0.02302,           0.0055563,             0.15883,             0.47945,             0.56192,             0.44772,              0.1555,             0.10429,            0.026241,            0.006763,             0.15528,           0.0098515,           0.0098515,           0.0098515
                  89,             0.10289,            0.023583,           0.0055383,             0.15951,             0.52106,             0.59219,             0.49552,              0.1822,              0.1023,            0.028078,           0.0071205,             0.15368,           0.0098481,           0.0098481,           0.0098481
                  90,               0.101,            0.024246,           0.0053357,             0.15649,             0.54444,             0.58019,             0.50659,             0.18222,            0.098116,            0.029506,            0.006432,             0.15259,           0.0098447,           0.0098447,           0.0098447
                  91,             0.10095,            0.023452,           0.0056072,             0.15762,             0.60134,             0.54881,             0.50502,             0.15623,             0.10165,            0.029522,           0.0068308,             0.15342,           0.0098412,           0.0098412,           0.0098412
                  92,             0.09937,            0.024811,           0.0058752,             0.15695,             0.41684,             0.61944,             0.40137,             0.14212,            0.099509,            0.031234,           0.0072512,             0.15466,           0.0098376,           0.0098376,           0.0098376
                  93,             0.10094,            0.024384,            0.005769,             0.15615,             0.40396,             0.52518,             0.38506,             0.14262,             0.10527,            0.027594,           0.0073071,             0.15206,           0.0098341,           0.0098341,           0.0098341
                  94,             0.10182,            0.022925,           0.0054347,             0.15594,             0.45153,             0.51693,             0.37976,             0.11965,             0.10106,            0.029761,           0.0074228,             0.15168,           0.0098305,           0.0098305,           0.0098305
                  95,              0.1031,             0.02399,           0.0051998,             0.15458,             0.22642,             0.37755,             0.17311,            0.051196,             0.11049,            0.033967,           0.0081827,             0.15382,           0.0098268,           0.0098268,           0.0098268
                  96,             0.10409,            0.023935,            0.005447,             0.15532,             0.35839,             0.61482,             0.37722,             0.11718,              0.1094,            0.025435,           0.0068316,             0.14953,           0.0098232,           0.0098232,           0.0098232
                  97,             0.10469,            0.022362,           0.0052386,              0.1535,             0.54405,             0.55278,              0.4673,             0.15344,             0.10038,            0.028531,           0.0071486,             0.14826,           0.0098195,           0.0098195,           0.0098195
                  98,             0.10079,            0.022498,           0.0049568,               0.153,             0.54054,              0.4578,             0.40422,             0.14662,             0.10378,            0.028016,           0.0073046,             0.14969,           0.0098157,           0.0098157,           0.0098157
                  99,            0.099022,            0.023791,           0.0054319,             0.15189,             0.58405,             0.54933,             0.47861,             0.17061,            0.097456,            0.030076,           0.0074184,             0.14767,           0.0098119,           0.0098119,           0.0098119
                 100,            0.097978,             0.02501,           0.0048683,              0.1523,             0.34636,             0.37616,              0.2664,            0.080945,             0.10423,            0.028397,           0.0067896,             0.14638,           0.0098081,           0.0098081,           0.0098081
                 101,            0.099672,            0.025126,           0.0056907,             0.15293,             0.60768,             0.57105,             0.49586,             0.17035,            0.098096,            0.030466,           0.0067916,             0.14585,           0.0098042,           0.0098042,           0.0098042
                 102,            0.098581,             0.02604,           0.0052162,             0.15151,             0.48401,             0.57574,             0.41952,             0.13832,            0.098646,            0.029712,           0.0070563,             0.14618,           0.0098003,           0.0098003,           0.0098003
                 103,            0.096079,            0.024648,           0.0049052,             0.15215,             0.48328,             0.45677,              0.3284,             0.10577,            0.098304,            0.030386,           0.0069645,             0.14538,           0.0097964,           0.0097964,           0.0097964
                 104,            0.099062,            0.024813,            0.005019,             0.14929,             0.41643,             0.45334,             0.32913,             0.11307,             0.10281,            0.031505,           0.0072743,             0.14732,           0.0097924,           0.0097924,           0.0097924
                 105,             0.09829,            0.025438,           0.0053417,             0.15018,             0.42742,             0.42534,             0.31383,            0.089923,               0.107,            0.028864,           0.0077496,             0.14752,           0.0097884,           0.0097884,           0.0097884
                 106,             0.09827,            0.023657,           0.0047987,              0.1487,             0.51909,             0.56046,              0.5027,              0.1605,            0.098516,            0.029226,           0.0063372,             0.14501,           0.0097843,           0.0097843,           0.0097843
                 107,            0.097857,            0.025151,           0.0054689,              0.1491,             0.45765,             0.39916,             0.31766,             0.12626,             0.10323,            0.029826,           0.0080447,             0.14442,           0.0097803,           0.0097803,           0.0097803
                 108,            0.095726,            0.024255,           0.0050717,             0.14971,             0.43857,             0.57095,             0.39126,             0.11599,             0.10164,             0.03024,           0.0074735,             0.14628,           0.0097761,           0.0097761,           0.0097761
                 109,            0.099055,            0.024895,           0.0049892,             0.14849,             0.44579,             0.55631,             0.40017,             0.12294,             0.10244,            0.028856,           0.0071231,             0.14481,            0.009772,            0.009772,            0.009772
